Cell Name,Start Note,End Note,"Notes",Movement,Type
Coltrane Pattern from root,1,7,"['1', '2', '3', '5', '7']",A,Essential
Major Bebop Scale from Root,1,5,"['1', '7', '6', '#5', '5']",D,Essential
Maj 7 Arpeggio with Displaced Octave,1,6,"['1', '3', '5', '7', '6']",D,Essential
Descending Maj Scale from 3rd,3,9,"['3', '9', '1', '7', '9']",D,Essential
Stan Getz Major Enclosure,3,1,"['3', 'b7', '7', '9', '1']",D,Essential
George Coleman Maj7,3,9,"['3', '5', '6', '7', '9']",A,Essential
Elevator Up Stairs Down from 3rd,3,5,"['3', '5', '7', '6', '5']",N,Essential
Coltrane Pattern from 5th,5,1,"['5', '6', '7', '9', '1']",A,Essential
Reverse Coltrane,5,7,"['5', '3', '9', '1', '7']",D,Essential
Hiddent Minor triad,5,6,"['5', '3', '7', '5', '6']",D,Essential
Octave displaced enclosure of 3rd,5,3,"['5','7', '9','4','3']",D,Essential
Descending Maj Scale from 5th,5,7,"['5', '4', '3', '9', '7']",D,Essential
Whole Step Double Enclosure,6,"5 ","['6', '5', '#5', '#11', '5']",D,Essential
Major Bebop Scale from 6th,6,3,"['6', '#5', '5', '4', '3']",D,Essential
Ideal Maj 7 Arpeggio,7,7,"['7', '1', '3', '5', '7']",A,Essential
Reverse George Coleman Maj7,7,9,"['7', '6', '5', '3', '9']",D,Essential
Descending Maj scale from 7th,7,3,"['7', '6', '5', '4', '3']",D,Essential
Chromatic Passing tone enclosure (of Maj 7 root),7,1,"['7', '1', '9', 'b9', '1']",D,Essential
Lydian augmented enclosure,7,5,"['7', '6', '#5', '#4', '5']",D,Essential
Descending Maj Scale from 9th,9,5,"['9', '1', '7', '6', '5']",D,Essential
Lee Morgan Maj7,9,7,"['9', 'b9', '1', '3', '7']",D,Essential
Major Honeysuckle,9,7,"['9', '1', '3', '5', '7']",N,Essential
Maj Triad from root,1,3,"['1', '3', '5', '1', '3']",A,Bonus
Maj Triad from 3rd,3,5,"['3', '5', '1', '3', '5']",A,Bonus
Maj Triad from 5th,5,1,"['5', '1', '3', '5', '1']",A,Bonus
Maj9 Arpeggio ending on Root,3,1,"['3', '5', '7', '9', '1']",A,Bonus
Lyrical enclosure,3,9,"['3', '9', 'b7', '7', '9']",N,Bonus
Charlie Parker Turn,9,3,"['9', '1', '7', '1', '3']",N,Bonus
