Cell Name,Start Note,End Note,Notes,Modes
Altered Zig Zag Approach,7,1,"['7', 'b6(lower)', '#9(higher)', 'b9', '1']","['7sus4', 'Myxolidian']"
Bill Evans Ascending enclosure (from b13),6,1,"['6', '7', '#9', 'b9', '1']",['7sus4']
Bill Evans enclosure (from #9),9,1,"['9', 'b9', 'b6', '7', '1']",['7sus4']
Bill Evans variation (from #9),9,1,"['9', 'b9', 'b6', '3', '1']",['7sus4']
Descending Dominant Arpeggio,5,6,"['5', '3', '1', '7', '6']","['7sus4', 'Myxolidian', 'Dorian']"
Descending Dominant scale from 5th,5,1,"['5', '4', '3', 'b9', '1']","['7sus4', 'Myxolidian', 'Locrian', 'Dorian']"
Diminished to dominant,#11,1,"['#11', '6', '5', '3', '1']","['7sus4', 'Myxolidian']"
Dominant Scale from 3rd,3,6,"['3', '9', '1', '7', '6']","['7sus4', 'Myxolidian']"
Dominant Turn,6,1,"['6', '5', '#11', '5', '1']",['7sus4']
Dominant b9 Arpeggio from 3rd,3,1,"['3', '5', '7', 'b9', '1']","['7sus4', 'Myxolidian', 'Locrian']"
Moignard Dominant b9 Arpeggio ending on b9 3rd,3,9,"['3', '5', '7', '3', 'b9']","['7sus4', 'Myxolidian', 'Locrian']"
Early b9/#9 Approach (start b9),9,6,"['9', '#9', '1', '7', '6']",['7sus4']
Full Altered Hank Mobley,3,1=5,"['3', '#5', '#9', 'b9', '1=5']",['7sus4']
Hidden Augmented Triad,1,5,"['1', 'b6', '3', '1', '5']","['7sus4', 'Myxolidian', 'Locrian', 'Dorian']"
Hidden Augmented Triad pivot at 13th,6,5,"['6', 'b6', '3', '1', '5']","['7sus4', 'Locrian', 'Dorian', 'Myxolidian']"
Hidden Augmented Triad pivot at 5th,5,5,"['5', 'b6', '3', '1', '5']","['7sus4', 'Locrian', 'Dorian', 'Myxolidian']"
Hidden Augmented Triad pivot at 7th,7,5,"['7', 'b6', '3', '1', '5']","['7sus4', 'Locrian', 'Dorian', 'Myxolidian']"
Hidden Fully Altered reverse Minor Coltrane (from b13),6,1,"['6', '3', '#9', 'b9', '1']",['7sus4']
Hidden Half Diminished Chord (from b13) Farao,6,6,"['6', '3', 'b9', '7', '6']",['7sus4']
Hidden Minor triad pivot at 13th,6,1,"['6', 'b6', '3', 'b9', '1']","['7sus4', 'Myxolidian']"
Hidden Minor triad pivot at 5th,5,1,"['5', 'b6', '3', 'b9', '1']","['7sus4', 'Myxolidian', 'Locrian', 'Dorian']"
Hidden Minor triad pivot at 7th,7,1,"['7', 'b6', '3', 'b9', '1']","['7sus4', 'Myxolidian', 'Locrian']"
Late #9/b9 approach,1,1,"['1', '7', '#9', 'b9', '1']","['7sus4', 'Myxolidian']"
Lee Morgan Dominant,1,6,"['1', 'maj7', '7', '9', '6']","['7sus4', 'Myxolidian']"
Octave displaced Dominant b9 from 3rd,3,6,"['3', 'b9(higher)', '1', '7', '6']","['7sus4', 'Myxolidian']"
Super Locrian scale (from #9),9,6,"['9', 'b9', '1', '7', '6']",['7sus4']
b13 Enclosure (from 13th),6,1,"['6', '5', 'b6', '3', '1']",['7sus4']
